epoch,loss,mean_absolute_percentage_error,root_mean_squared_error,val_loss,val_mean_absolute_percentage_error,val_root_mean_squared_error,learning_rate
1,0.03024333342909813,32.10182571411133,0.13600824773311615,0.03949398174881935,52.17304992675781,0.1746061146259308,0.0010000000474974513
2,0.019527245312929153,27.93637466430664,0.10938733071088791,0.02158314734697342,34.55786895751953,0.12303363531827927,0.0010000000474974513
3,0.017700929194688797,28.43436622619629,0.10934120416641235,0.08337289094924927,58.88887023925781,0.27976757287979126,0.0010000000474974513
4,0.015956752002239227,27.853958129882812,0.10682518035173416,0.08398608863353729,58.39310073852539,0.2825756371021271,0.0010000000474974513
5,0.014372991397976875,26.383136749267578,0.10324070602655411,0.049888502806425095,49.56631088256836,0.21529506146907806,0.0010000000474974513
6,0.013480582274496555,26.365293502807617,0.1011783704161644,0.07726197689771652,57.61180114746094,0.27234920859336853,0.0010000000474974513
7,0.013014743104577065,26.08685874938965,0.1011190190911293,0.0799764096736908,58.495460510253906,0.2779080867767334,0.0010000000474974513
8,0.012472100555896759,25.949106216430664,0.09967602789402008,0.08972501754760742,60.24940872192383,0.2953932285308838,0.0010000000474974513
9,0.011664516292512417,25.005531311035156,0.0971209928393364,0.0830613449215889,58.95293045043945,0.28440240025520325,0.0010000000474974513
10,0.01163601502776146,25.16627311706543,0.09830696880817413,0.08729217946529388,59.84748077392578,0.2921413779258728,0.0005000000237487257
11,0.01132709439843893,25.07818603515625,0.09764474630355835,0.10407338291406631,62.84270477294922,0.319784939289093,0.0010000000474974513
12,0.010598531924188137,24.18536376953125,0.09475291520357132,0.0874520018696785,58.74420928955078,0.2929517924785614,0.0009984740754589438
13,0.010301447473466396,23.31287956237793,0.09392708539962769,0.0775313600897789,55.6428337097168,0.2756184935569763,0.0009939057053998113
14,0.010010725818574429,23.20642852783203,0.09292677044868469,0.08859448879957199,59.180233001708984,0.2952395975589752,0.0009863231098279357
15,0.009617816656827927,22.425127029418945,0.09108287841081619,0.06628304719924927,51.49979019165039,0.25486621260643005,0.0009757729712873697
16,0.009496993385255337,22.323265075683594,0.09126541763544083,0.08361253142356873,57.95629119873047,0.287038654088974,0.0009623203659430146
17,0.009261577390134335,21.993324279785156,0.09036771208047867,0.06286883354187012,49.82463073730469,0.24845917522907257,0.0009460482397116721
